CustomerID,Name,Region,JoinDate,Age,Division
CUST001052,Brandon Hinton,South-West,2022-11-10,23,Sales
CUST001053,Benjamin Cline,East,2022-01-25,71,Production
CUST001054,Laura Mcdonald,South,2022-12-03,33,Sales
CUST001055,William Benitez,East,2020-11-04,55,Sales
CUST001056,Kristina Wilson,East,2023-05-15,67,Production
CUST001057,Kathy Hall,North,2023-10-27,23,Sales
CUST001058,Steven Jackson,Central,2020-06-26,39,Sales
CUST001059,Steve Massey,West,2020-08-06,29,Production
CUST001060,Mr. Christopher Thompson,South,2023-04-10,43,Sales
CUST001061,Taylor Kaufman,North,2021-07-23,56,Production
CUST001062,Ashley Harmon,South,2024-02-13,51,Sales
CUST001063,Howard Case,South-West,2021-02-15,30,Production
CUST001064,Joshua Cline,East,2024-02-19,28,Sales
CUST001065,Daniel Adams,Central,2023-07-02,32,Production
CUST001066,Derrick Myers,North,2022-04-06,45,Sales
CUST001067,Lawrence Pearson,East,2023-04-29,34,Sales
CUST001068,Melissa Gutierrez,East,2023-12-25,67,Production
CUST001069,Virginia Warren,North,2023-08-24,60,Sales
CUST001070,Brittany Johnson,East,2021-06-04,33,Production
CUST001071,Christopher Frost,East,2020-08-21,61,Sales
CUST001072,Shannon Schmitt,East,2022-08-23,72,Production
CUST001073,Matthew Clark,Central,2023-08-21,59,Sales
CUST001074,Alyssa Evans,West,2021-10-27,23,Sales
CUST001075,Joseph Chavez,North,2023-01-01,28,Production
CUST001076,Glenn Shelton,East,2024-05-01,34,Sales
CUST001077,Amy Espinoza,North,2021-05-29,45,Production
CUST001078,Danielle Fuller,South-West,2023-12-08,54,Sales
CUST001079,Zachary Thompson MD,East,2022-09-05,78,Production
CUST001080,Thomas Parker,South-West,2023-02-28,34,Sales
CUST001081,Ryan White,South,2020-09-04,22,Sales
CUST001082,Connor Martin,Central,2023-01-05,73,Production
CUST001083,Jacqueline Bishop,South,2020-06-05,47,Sales
CUST001084,Martha Mccall,North,2022-05-31,27,Production
CUST001085,Steven Wright,Central,2021-08-22,43,Sales
CUST001086,Robert Rodriguez,East,2023-03-01,64,Production
CUST001087,Carla Tran,East,2020-07-22,50,Sales
CUST001088,Lindsay Torres,East,2021-12-30,28,Sales
CUST001089,Matthew Hernandez,North,2023-04-12,42,Production
CUST001090,Nicholas Dunlap,South,2020-10-11,23,Sales
CUST001091,Brianna Thomas,South-West,2023-05-23,39,Production
CUST001092,Timothy Hill,West,2023-09-07,72,Sales
CUST001093,Christian Medina,East,2023-02-04,54,Production
CUST001094,Robert Jones,West,2023-11-18,32,Sales
CUST001095,Dr. Jason Scott,South,2021-04-07,61,Production
CUST001096,Patricia Rogers,South,2024-01-10,34,Sales
CUST001097,Laura Jones,East,2023-12-07,24,Sales
CUST001098,Jeffrey Maxwell,West,2022-01-27,51,Sales
CUST001099,Lori Howard,East,2021-02-27,32,Production
CUST001100,Michael Simon,East,2020-12-27,20,Sales
CUST001101,Ryan Martin,South-West,2020-11-14,34,Sales
CUST001102,Robert Hansen,Central,2022-11-19,54,Production
CUST001103,Megan Chandler,East,2023-06-25,67,Sales
CUST001104,David Herrera,West,2021-04-01,22,Production
CUST001105,Taylor Clarke,Central,2023-03-11,29,Sales
CUST001106,Jennifer Ewing,East,2023-05-16,45,Production
CUST001107,Emily Hoffman,West,2023-06-09,51,Sales
CUST001108,Sharon Bautista,Central,2022-07-31,29,Production
CUST001109,Aaron Garcia,East,2023-07-31,39,Sales
CUST001110,Melissa Grimes,South,2024-03-14,47,Production
CUST001111,Ronald Chavez,South-West,2021-06-24,23,Sales
CUST001112,Joseph Flores,East,2021-04-03,48,Production
CUST001113,Louis Jones,Central,2021-07-04,52,Sales
CUST001114,Grace Price,South,2022-03-25,61,Production
CUST001115,Gina Banks,West,2023-09-16,27,Sales
CUST001116,Melissa Rivera,Central,2021-10-25,36,Production
CUST001117,Amanda Lang,North,2024-04-14,43,Sales
CUST001118,Briana Alvarado,South,2022-03-18,61,Production
CUST001119,Cameron Hernandez,East,2022-08-08,55,Sales
CUST001120,Daniel Meyer,South,2024-03-15,42,Production
CUST001121,Stephanie Garrison,East,2020-08-21,31,Sales
CUST001122,Christopher Martinez,East,2021-10-07,48,Production
CUST001123,Colleen Greene,South-West,2022-08-21,65,Sales
CUST001124,Megan Novak,East,2022-12-19,38,Production
CUST001125,Debbie Andrews,West,2021-05-22,21,Sales
CUST001126,Lee Luna,East,2021-01-19,48,Sales
CUST001127,George Edwards,Central,2023-05-12,28,Sales
CUST001128,Vincent Day,North,2022-07-03,37,Production
CUST001129,Karina Jones,East,2023-11-05,53,Sales
CUST001130,Mary Sandoval,North,2020-10-06,62,Production
CUST001131,Mark Gomez,West,2020-06-11,42,Sales
CUST001132,Scott Winters,West,2022-09-20,22,Production
CUST001133,Victor Wagner,South-West,2021-06-12,70,Sales
CUST001134,Joseph Aguilar,West,2023-12-05,32,Production
CUST001135,Christopher Chen,South,2023-09-10,42,Production
CUST001136,Scott Hernandez,South,2024-02-09,58,Sales
CUST001137,Jessica Harmon,South-West,2022-11-05,42,Sales
CUST001138,Bonnie Stewart,South,2022-04-19,39,Production
CUST001139,Heather Olson,Central,2021-04-20,27,Sales
CUST001140,Carla Flores,East,2020-09-30,31,Production
CUST001141,David Palmer,North,2022-09-16,26,Sales
CUST001142,Marvin Hamilton,North,2022-04-23,49,Sales
CUST001143,Miss Chelsea Castro DDS,Central,2021-02-23,53,Production
CUST001144,Brian Browning,East,2023-05-03,68,Sales
CUST001145,Stephanie Powell,East,2023-02-03,32,Sales
CUST001146,Jonathan Andrade,South-West,2020-06-07,24,Production
CUST001147,William Palmer,South-West,2023-08-14,58,Sales
CUST001148,Dean Allison,West,2021-06-23,39,Sales
CUST001149,Jordan Elliott,North,2020-05-13,51,Production
CUST001150,Bobby Hunter,North,2020-12-06,35,Sales
CUST001151,Sabrina Lester,West,2022-07-16,63,Production
CUST001152,Thomas Garcia,East,2022-09-14,45,Sales
CUST001153,Michelle Martinez,East,2023-07-31,43,Production
CUST001154,Edward Castillo,North,2020-10-01,64,Sales
CUST001155,Rachel Goodman,North,2023-04-10,71,Production
CUST001156,Dennis Acevedo,East,2023-06-18,24,Sales
CUST001157,Cheryl Wu,West,2021-12-10,90,Production
CUST001158,Kelly Gallagher,East,2024-03-02,31,Sales
CUST001159,Kelli Smith,North,2022-01-28,24,Production
CUST001160,Phillip Soto,West,2023-04-21,38,Sales
CUST001161,David Ellis,East,2023-01-02,20,Production
CUST001162,Deborah Rice,East,2022-01-14,49,Sales
CUST001163,Elizabeth Vaughn,West,2023-05-01,26,Production
CUST001165,Richard Burnett,Central,2022-07-24,92,Production
CUST001166,David Mccullough,South-West,2021-12-15,82,Sales
CUST001167,Terry Frederick,North,2021-12-20,71,Sales
CUST001168,Denise Gonzales,South,2022-05-02,27,Sales
CUST001169,Michael Edwards,South-West,2023-09-26,21,Production
CUST001170,Eric Davis,North,2023-10-15,43,Production
CUST001171,Ronald Marquez,South-West,2024-04-21,84,Sales
CUST001172,Eric Barr,East,2023-02-01,78,Sales
CUST001173,David King MD,North,2022-09-14,61,Production
CUST001174,Deborah Saunders,West,2021-12-25,35,Sales
CUST001175,Teresa Lopez,West,2021-10-20,48,Production
CUST001176,Ashley Williams,East,2021-11-24,37,Sales
CUST001177,Katherine West,East,2020-11-01,25,Production
CUST001178,Katherine Kerr,East,2020-11-13,31,Sales
CUST001179,Desiree Miller,East,2021-12-21,39,Production
CUST001180,Jennifer Smith,South-West,2020-10-03,20,Sales
CUST001181,Tiffany Smith,East,2024-04-07,29,Sales
CUST001182,James Gray,West,2020-07-24,30,Production
CUST001183,Kenneth Graves,East,2020-05-08,50,Sales
CUST001184,Brittney Chen,East,2023-07-20,54,Production
CUST001185,Cameron Levine,East,2021-07-26,29,Sales
CUST001186,Timothy Williams,West,2021-09-28,38,Production
CUST001187,Kayla Solomon,North,2022-06-10,82,Sales
CUST001188,Ashley Todd,North,2023-09-04,40,Sales
CUST001189,Jennifer Farrell,North,2022-11-18,32,Production
CUST001190,Elizabeth Robinson,South-West,2023-12-27,47,Sales
CUST001191,Kyle Smith Jr.,South,2023-10-31,59,Production
CUST001192,Gregory Medina,East,2020-06-06,72,Production
CUST001194,Casey Brown,Central,2024-02-09,48,Sales
CUST001195,Michael Lee,South-West,2023-08-22,32,Production
CUST001196,Dr. Elizabeth Johnston DDS,North,2022-02-09,49,Sales
CUST001197,William Wilson,West,2023-04-04,59,Production
CUST001198,Chris Allen,South-West,2022-10-11,38,Sales
CUST001199,James Cooley,West,2020-07-23,28,Production
CUST001005,Jessica Mora,South,2021-08-05,58,Sales
